index,ID,Name,Type,City,Zip,Grade,Rating1,Rating2,RatingAll,lat,lon,Enrollment
315,519,Allison Elementary School,public,Austin,78741,PK-6,7,3,9.200000000000001,30.235785,-97.69203,545
316,543,Govalle Elementary School,public,Austin,78617,PK-5,1,4,3.1,30.210512,-97.65354,370
317,614,Galindo Elementary School,public,Austin,78704,PK-5,3,3,4.800000000000001,30.229517,-97.7719,585
318,539,Dawson Elementary School,public,Austin,78704,PK-5,6,4,8.600000000000001,30.234062,-97.76337,382
319,11555,San Juan Diego Catholic High School,private,Austin,78704,8-12,4,4,6.4,30.240438,-97.763725,152
320,616,Leadership Academy,public,Austin,78704,6-12,7,4,9.700000000000001,30.235638,-97.75366,27
321,19893,Harmony School of Excellence - Austin,charter,Austin,78744,K-12,5,4,7.5,30.210432,-97.746735,588
322,24798,Harmony School of Innovation,charter,Austin,78744,K-5,6,4,8.600000000000001,30.21006,-97.74532,468
323,584,Travis High School,public,Austin,78704,9-12,3,4,5.300000000000001,30.233839,-97.743256,1291
324,20405,Premier High School At Travis,charter,Austin,78704,9-12,1,4,3.1,30.233839,-97.743256,123
325,556,Linder Elementary School,public,Austin,78741,1-5,3,3,4.800000000000001,30.224209,-97.73794,364
326,2205,Valley View Elementary School,public,Austin,78746,K-5,9,5,12.4,30.302923,-97.83261,509
327,24777,Fusion Academy Austin,private,Austin,78746,6-12,9,5,12.4,30.28804,-97.81678,55
328,2202,Eanes Elementary School,public,West Lake Hills,78746,PK-5,10,4,13.0,30.28302,-97.81115,664
329,10662,Trinity Episcopal School of AU,private,Austin,78746,K-8,10,4,13.0,30.2815,-97.8086,496
330,24844,Adult Transition Services,public,Austin,78746,12,9,4,11.9,30.272945,-97.802,26
331,8428,St. Gabriel's Catholic School,private,Austin,78735,PK-8,9,4,11.9,30.292027,-97.8712,457
332,2209,Barton Creek Elementary School,public,Austin,78733,K-5,10,4,13.0,30.303408,-97.87958,505
333,2207,West Ridge Middle School,public,Austin,78733,6-8,10,4,13.0,30.302864,-97.88434,946
334,25183,Abrome,private,Austin,78733,"K-8, 10-12",6,4,8.600000000000001,30.33515,-97.87648,5
335,11843,Creedmoor Elementary School,public,Austin,78747,PK-5,3,4,5.300000000000001,30.090845,-97.72035,721
